participant,condition,reward,loss,total,mouse.clicked_name,mouse.time
swara,sufficient_time,50.0,0.0,850.0,deck_D,[0.4193288750002466]
swara,sufficient_time,50.0,0.0,900.0,deck_D,[0.41338233299984495]
swara,sufficient_time,50.0,0.0,950.0,deck_D,[0.3371441250001226]
swara,sufficient_time,50.0,250.0,750.0,deck_D,[0.3203918750000412]
swara,sufficient_time,50.0,0.0,800.0,deck_C,[0.6184745000000476]
swara,sufficient_time,50.0,0.0,850.0,deck_C,[0.7879881250000835]
swara,sufficient_time,50.0,0.0,900.0,deck_C,[0.4978482920000715]
swara,sufficient_time,50.0,0.0,950.0,deck_C,[0.721334874999684]
swara,sufficient_time,50.0,50.0,950.0,deck_C,[0.46638908300019466]
swara,sufficient_time,50.0,0.0,1000.0,deck_C,[0.6557653750001009]
swara,sufficient_time,50.0,50.0,1000.0,deck_C,[1.1619127500002833]
swara,sufficient_time,100.0,0.0,1100.0,deck_B,[3.750955334000082]
swara,sufficient_time,100.0,0.0,1200.0,deck_B,[0.5001795000002858]
swara,sufficient_time,100.0,0.0,1300.0,deck_A,[0.5328326659996492]
swara,sufficient_time,100.0,1250.0,150.0,deck_B,[0.3521902079996835]
swara,sufficient_time,100.0,250.0,0.0,deck_A,[1.369040957999914]
swara,sufficient_time,50.0,0.0,50.0,deck_C,[0.4244050829997832]
swara,sufficient_time,50.0,0.0,100.0,deck_C,[0.4995498329999464]
swara,sufficient_time,50.0,0.0,150.0,deck_D,[0.655323457999657]
