deck_A_loss,deck_B_loss,deck_C_loss,deck_D_loss,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,defining_variables.started,defining_variables.stopped,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,time_instructions.started,key_instruct_3.started,time_instructions.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,Task.started,current_total.started,deck_A.started,deck_B.started,deck_C.started,deck_D.started,deck_A_label.started,deck_B_label.started,deck_C_label.started,deck_D_label.started,mouse.started,Task.stopped,condition,reward,loss,total,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,gamble_result.started,text.started,gamble_result.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
250,0,50,0,0,0,0,0,0,8,8,2,53.82499388,,,,,,,,,,,,,,,,,,,53.80377929,53.82499388,53.82499388,53.82499388,53.82499388,53.82499388,53.82499388,53.82499388,53.82499388,53.82499388,0.010986292,54.17068212,sufficient_time,100,0,2450,[-0.24666666666666667],[0.06666666666666667],[1],[0],[0],[0.3450810409999576],['deck_B'],54.17118258,54.17626525,57.16054738,57.18019342,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,0,0,0,0,0,9,9,1,57.18019342,,,,,,,,,,,,,,,,,,,57.16089563,57.18019342,57.18019342,57.18019342,57.18019342,57.18019342,57.18019342,57.18019342,57.18019342,57.18019342,0.009198542,57.70502412,sufficient_time,100,250,2300,[-0.5522222222222222],[0.04888888888888889],[1],[0],[0],[0.5242433329999585],['deck_A'],57.70555842,57.71894725,60.70358238,60.73352458,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,1,0,1,0,0,0,0,2,60.73352458,,,,,,,,,,,,,,,,,,,60.71496079,60.73352458,60.73352458,60.73352458,60.73352458,60.73352458,60.73352458,60.73352458,60.73352458,60.73352458,0.013106375,61.70363537,sufficient_time,100,0,2400,[-0.2788888888888889],[0.08888888888888889],[1],[0],[0],[0.9843364580001435],['deck_B'],61.70450813,61.71271329,64.70370038,64.72470142,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,1,0,1,0,0,1,1,5,64.72470142,,,,,,,,,,,,,,,,,,,64.70411108,64.72470142,64.72470142,64.72470142,64.72470142,64.72470142,64.72470142,64.72470142,64.72470142,64.72470142,0.004166291,65.06447729,sufficient_time,100,0,2500,[-0.21333333333333335],[0.10777777777777778],[1],[0],[0],[0.3551370830000451],['deck_B'],65.0649935,65.08650275,68.06992429,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,1,0,1,0,0,2,2,7,68.0909275,,,,,,,,,,,,,,,,,,,68.07033925,68.0909275,68.0909275,68.0909275,68.0909275,68.0909275,68.0909275,68.0909275,68.0909275,68.0909275,0.009904541,68.45866942,sufficient_time,100,0,2600,[-0.21777777777777776],[0.07777777777777778],[1],[0],[0],[0.38314649999983885],['deck_B'],68.45918696,68.47122888,71.45941008,71.48145688,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,1,0,1,0,0,3,3,3,71.48145688,,,,,,,,,,,,,,,,,,,71.45984413,71.48145688,71.48145688,71.48145688,71.48145688,71.48145688,71.48145688,71.48145688,71.48145688,71.48145688,0.006965416,71.83135833,sufficient_time,100,0,2700,[-0.21777777777777776],[0.07777777777777778],[1],[0],[0],[0.36454150000008667],['deck_B'],71.83187629,71.85313554,74.83664933,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,1,0,1,0,0,4,4,9,74.85839708,,,,,,,,,,,,,,,,,,,74.83708263,74.85839708,74.85839708,74.85839708,74.85839708,74.85839708,74.85839708,74.85839708,74.85839708,74.85839708,0.010773375,75.54269871,sufficient_time,100,0,2800,[-0.21777777777777776],[0.07777777777777778],[1],[0],[0],[0.6993781249998392],['deck_B'],75.54326033,75.55311496,78.5372535,78.55796792,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,1,0,1,0,0,5,5,4,78.55796792,,,,,,,,,,,,,,,,,,,78.53768379,78.55796792,78.55796792,78.55796792,78.55796792,78.55796792,78.55796792,78.55796792,78.55796792,78.55796792,-0.000981083,79.18148013,sufficient_time,100,0,2900,[-0.21777777777777776],[0.07777777777777778],[1],[0],[0],[0.6385302499998033],['deck_B'],79.18200167,79.1875285,82.17065208,82.19100383,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,1250,50,250,1,0,1,0,0,6,6,0,82.19100383,,,,,,,,,,,,,,,,,,,82.17105933,82.19100383,82.19100383,82.19100383,82.19100383,82.19100383,82.19100383,82.19100383,82.19100383,82.19100383,0.009175,82.46532467,sufficient_time,100,1250,1750,[-0.21777777777777776],[0.07777777777777778],[1],[0],[0],[0.2737041249997674],['deck_B'],82.46583362,82.47455042,85.45972075,85.47819254,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,1,0,1,0,0,7,7,8,85.47819254,,,,,,,,,,,,,,,,,,,85.46014729,85.47819254,85.47819254,85.47819254,85.47819254,85.47819254,85.47819254,85.47819254,85.47819254,85.47819254,0.012530083,86.4390955,sufficient_time,50,0,1800,[0.15222222222222223],[0.09111111111111111],[1],[0],[0],[0.9602832499999749],['deck_C'],86.43960046,86.45320213,89.43739442,89.45613475,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,1,0,1,0,0,8,8,1,89.45613475,,,,,,,,,,,,,,,,,,,89.43777375,89.45613475,89.45613475,89.45613475,89.45613475,89.45613475,89.45613475,89.45613475,89.45613475,89.45613475,0.001913583,89.82248238,sufficient_time,50,0,1850,[0.5011111111111111],[0.13333333333333333],[1],[0],[0],[0.38042170900007477],['deck_D'],89.82300308,89.83687775,92.82102404,92.84024937,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,1,0,1,0,0,9,9,6,92.84024937,,,,,,,,,,,,,,,,,,,92.82147592,92.84024937,92.84024937,92.84024937,92.84024937,92.84024937,92.84024937,92.84024937,92.84024937,92.84024937,0.002404625,93.13216654,sufficient_time,50,0,1900,[0.5366666666666666],[0.14555555555555555],[1],[0],[0],[0.3060896249999132],['deck_D'],93.1326875,93.15374017,96.13731596,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,2,0,2,0,0,0,0,3,96.16901838,,,,,,,,,,,,,,,,,,,96.14995483,96.16901838,96.16901838,96.16901838,96.16901838,96.16901838,96.16901838,96.16901838,96.16901838,96.16901838,0.021412,96.70630858,sufficient_time,50,0,1950,[0.5366666666666666],[0.14444444444444443],[1],[0],[0],[0.5515909580003608],['deck_D'],96.70722338,96.72061883,99.70400046,99.7249985,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,2,0,2,0,0,1,1,7,99.7249985,,,,,,,,,,,,,,,,,,,99.70442617,99.7249985,99.7249985,99.7249985,99.7249985,99.7249985,99.7249985,99.7249985,99.7249985,99.7249985,0.002466,100.2558222,sufficient_time,50,0,2000,[0.5355555555555556],[0.14444444444444443],[1],[0],[0],[0.5454525830000421],['deck_D'],100.2563489,100.2702518,103.2547414,103.2760083,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,1250,50,250,2,0,2,0,0,2,2,0,103.2760083,,,,,,,,,,,,,,,,,,,103.2552518,103.2760083,103.2760083,103.2760083,103.2760083,103.2760083,103.2760083,103.2760083,103.2760083,103.2760083,0.003708792,103.7895008,sufficient_time,50,250,1800,[0.5355555555555556],[0.14444444444444443],[1],[0],[0],[0.5287592919999042],['deck_D'],103.7900111,103.8036135,106.7881846,106.8086211,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,2,0,2,0,0,3,3,6,106.8086211,,,,,,,,,,,,,,,,,,,106.7885905,106.8086211,106.8086211,106.8086211,106.8086211,106.8086211,106.8086211,106.8086211,106.8086211,106.8086211,0.002726334,107.3063987,sufficient_time,50,0,1850,[0.27444444444444444],[0.12444444444444444],[1],[0],[0],[0.5130593330000011],['deck_C'],107.3069347,107.3203927,110.3047792,110.3266867,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,2,0,2,0,0,4,4,4,110.3266867,,,,,,,,,,,,,,,,,,,110.3051999,110.3266867,110.3266867,110.3266867,110.3266867,110.3266867,110.3266867,110.3266867,110.3266867,110.3266867,0.004296708,110.6722283,sufficient_time,50,50,1850,[0.2722222222222222],[0.12333333333333334],[1],[0],[0],[0.3603291250001348],['deck_C'],110.672752,110.6809281,113.6711826,113.687566,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,2,0,2,0,0,5,5,5,113.687566,,,,,,,,,,,,,,,,,,,113.6716276,113.687566,113.687566,113.687566,113.687566,113.687566,113.687566,113.687566,113.687566,113.687566,0.014988917,114.3827053,sufficient_time,50,0,1900,[0.2722222222222222],[0.12333333333333334],[1],[0],[0],[0.6945902090001255],['deck_C'],114.3832119,114.3916495,117.37928,117.4003396,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,2,0,2,0,0,6,6,2,117.4003396,,,,,,,,,,,,,,,,,,,117.3797077,117.4003396,117.4003396,117.4003396,117.4003396,117.4003396,117.4003396,117.4003396,117.4003396,117.4003396,0.001066292,118.0231228,sufficient_time,50,50,1900,[0.2722222222222222],[0.12333333333333334],[1],[0],[0],[0.6381628750000345],['deck_C'],118.0236309,118.0312822,121.0217894,121.0379822,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,2,0,2,0,0,7,7,9,121.0379822,,,,,,,,,,,,,,,,,,,121.02224,121.0379822,121.0379822,121.0379822,121.0379822,121.0379822,121.0379822,121.0379822,121.0379822,121.0379822,0.014544459,121.5112272,sufficient_time,50,0,1950,[0.2611111111111111],[0.12111111111111111],[1],[0],[0],[0.4725636250000207],['deck_C'],121.5117503,121.520741,124.5052591,124.5255025,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,2,0,2,0,0,8,8,1,124.5255025,,,,,,,,,,,,,,,,,,,124.5056922,124.5255025,124.5255025,124.5255025,124.5255025,124.5255025,124.5255025,124.5255025,124.5255025,124.5255025,0.013933375,124.8237575,sufficient_time,50,50,1950,[0.24444444444444444],[0.11333333333333333],[1],[0],[0],[0.29756316700013485],['deck_C'],124.824285,124.837747,127.821997,127.8387067,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,2,0,2,0,0,9,9,8,127.8387067,,,,,,,,,,,,,,,,,,,127.8224334,127.8387067,127.8387067,127.8387067,127.8387067,127.8387067,127.8387067,127.8387067,127.8387067,127.8387067,0.014598291,128.1828037,sufficient_time,50,0,2000,[0.24444444444444444],[0.11333333333333333],[1],[0],[0],[0.3435280829999101],['deck_C'],128.1833116,128.1928688,131.1777634,131.2095094,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,3,0,3,0,0,0,0,8,131.2095094,,,,,,,,,,,,,,,,,,,131.1905163,131.2095094,131.2095094,131.2095094,131.2095094,131.2095094,131.2095094,131.2095094,131.2095094,131.2095094,0.011159083,131.4676135,sufficient_time,50,0,2050,[0.24444444444444444],[0.11333333333333333],[1],[0],[0],[0.27252737500020885],['deck_C'],131.468442,131.4749641,134.462054,134.4805018,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,3,0,3,0,0,1,1,7,134.4805018,,,,,,,,,,,,,,,,,,,134.4624263,134.4805018,134.4805018,134.4805018,134.4805018,134.4805018,134.4805018,134.4805018,134.4805018,134.4805018,0.012241042,134.7996368,sufficient_time,100,0,2150,[-0.24333333333333335],[0.052222222222222225],[1],[0],[0],[0.318577374999677],['deck_B'],134.8001568,134.80873,137.795792,137.8158,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,3,0,3,0,0,2,2,4,137.8158,,,,,,,,,,,,,,,,,,,137.7962317,137.8158,137.8158,137.8158,137.8158,137.8158,137.8158,137.8158,137.8158,137.8158,0.001100125,138.3286492,sufficient_time,100,0,2250,[-0.24333333333333335],[0.052222222222222225],[1],[0],[0],[0.526787916000103],['deck_B'],138.3291638,138.3382808,141.3217699,141.3424397,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,3,0,3,0,0,3,3,5,141.3424397,,,,,,,,,,,,,,,,,,,141.3221702,141.3424397,141.3424397,141.3424397,141.3424397,141.3424397,141.3424397,141.3424397,141.3424397,141.3424397,0.013444375,142.0332365,sufficient_time,100,0,2350,[-0.24333333333333335],[0.052222222222222225],[1],[0],[0],[0.6902490830002534],['deck_B'],142.0337341,142.0546863,145.0384595,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,3,0,3,0,0,4,4,3,145.0591075,,,,,,,,,,,,,,,,,,,145.0388797,145.0591075,145.0591075,145.0591075,145.0591075,145.0591075,145.0591075,145.0591075,145.0591075,145.0591075,0.009694292,145.4451627,sufficient_time,100,0,2450,[-0.22444444444444445],[0.06111111111111111],[1],[0],[0],[0.40103291700006594],['deck_B'],145.4457278,145.4547033,148.4387935,148.4588519,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,3,0,3,0,0,5,5,9,148.4588519,,,,,,,,,,,,,,,,,,,148.4392165,148.4588519,148.4588519,148.4588519,148.4588519,148.4588519,148.4588519,148.4588519,148.4588519,148.4588519,0.013292709,148.8946496,sufficient_time,100,0,2550,[-0.2388888888888889],[0.016666666666666666],[1],[0],[0],[0.43517195899994476],['deck_B'],148.8951702,148.9050389,151.8886428,151.9100663,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,3,0,3,0,0,6,6,1,151.9100663,,,,,,,,,,,,,,,,,,,151.8890788,151.9100663,151.9100663,151.9100663,151.9100663,151.9100663,151.9100663,151.9100663,151.9100663,151.9100663,-0.000983666,152.6836145,sufficient_time,100,250,2400,[-0.5166666666666667],[0.024444444444444446],[1],[0],[0],[0.7887835419996918],['deck_A'],152.6841226,152.6923498,155.6785817,155.697387,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,3,0,3,0,0,7,7,2,155.697387,,,,,,,,,,,,,,,,,,,155.6789954,155.697387,155.697387,155.697387,155.697387,155.697387,155.697387,155.697387,155.697387,155.697387,-0.000899292,156.1076934,sufficient_time,100,250,2250,[-0.5355555555555556],[0.02],[1],[0],[0],[0.4237866670000585],['deck_A'],156.1082111,156.1216388,159.1062895,159.1261985,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,1250,50,250,3,0,3,0,0,8,8,0,159.1261985,,,,,,,,,,,,,,,,,,,159.1067275,159.1261985,159.1261985,159.1261985,159.1261985,159.1261985,159.1261985,159.1261985,159.1261985,159.1261985,0.003107292,159.4504235,sufficient_time,100,1250,1100,[-0.17222222222222222],[-0.06444444444444444],[1],[0],[0],[0.338473625000006],['deck_B'],159.4509472,159.4597354,162.4467322,162.46686,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,3,0,3,0,0,9,9,6,162.46686,,,,,,,,,,,,,,,,,,,162.4471489,162.46686,162.46686,162.46686,162.46686,162.46686,162.46686,162.46686,162.46686,162.46686,0.000740083,163.1839658,sufficient_time,50,0,1150,[0.12777777777777777],[0.015555555555555555],[1],[0],[0],[0.7316093750000618],['deck_C'],163.1845046,163.1931009,166.1791802,166.2087153,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,4,0,4,0,0,0,0,2,166.2087153,,,,,,,,,,,,,,,,,,,166.1895614,166.2087153,166.2087153,166.2087153,166.2087153,166.2087153,166.2087153,166.2087153,166.2087153,166.2087153,0.008657792,166.628973,sufficient_time,50,50,1150,[0.15666666666666668],[0.04555555555555556],[1],[0],[0],[0.4352030410000225],['deck_C'],166.6298458,166.6383839,169.6229146,169.6390417,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,4,0,4,0,0,1,1,1,169.6390417,,,,,,,,,,,,,,,,,,,169.6233543,169.6390417,169.6390417,169.6390417,169.6390417,169.6390417,169.6390417,169.6390417,169.6390417,169.6390417,0.00940125,170.6508038,sufficient_time,50,0,1200,[0.5644444444444444],[0.08777777777777777],[1],[0],[0],[1.0111842920000527],['deck_D'],170.6513124,170.6594697,173.6452165,173.6643376,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,4,0,4,0,0,2,2,9,173.6643376,,,,,,,,,,,,,,,,,,,173.6456217,173.6643376,173.6643376,173.6643376,173.6643376,173.6643376,173.6643376,173.6643376,173.6643376,173.6643376,0.013195666,174.1180534,sufficient_time,50,0,1250,[0.5655555555555556],[0.08777777777777777],[1],[0],[0],[0.45316220799986695],['deck_D'],174.1185673,174.126117,177.1123005,177.1312066,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,4,0,4,0,0,3,3,8,177.1312066,,,,,,,,,,,,,,,,,,,177.1126996,177.1312066,177.1312066,177.1312066,177.1312066,177.1312066,177.1312066,177.1312066,177.1312066,177.1312066,0.012808875,177.624539,sufficient_time,50,0,1300,[0.2877777777777778],[0.12111111111111111],[1],[0],[0],[0.4927432089998547],['deck_C'],177.625084,177.6389071,180.6231358,180.6444977,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,4,0,4,0,0,4,4,5,180.6444977,,,,,,,,,,,,,,,,,,,180.6235767,180.6444977,180.6444977,180.6444977,180.6444977,180.6444977,180.6444977,180.6444977,180.6444977,180.6444977,0.003634417,181.2178095,sufficient_time,50,0,1350,[0.2877777777777778],[0.12111111111111111],[1],[0],[0],[0.5884180419998302],['deck_C'],181.2183215,181.2393372,184.2229088,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
